Mandal,Revenue_Division,District
Tadepalligudem,Tadepalligudem,West Godavari
Tanuku,Tadepalligudem,West Godavari
Atlur,Badvel,YSR
B. Kodur,Badvel,YSR
Badvel,Badvel,YSR
Brahmamgarimattam,Badvel,YSR
Chapad,Badvel,YSR
Duvvur,Badvel,YSR
Gopavaram,Badvel,YSR
Kalasapadu,Badvel,YSR
Khajipet,Badvel,YSR
Porumamilla,Badvel,YSR
S.Mydukur,Badvel,YSR
Sri Avadhutha Kasinayana,Badvel,YSR
Jammalamadugu,Jammalamadugu,YSR
Kondapuram,Jammalamadugu,YSR
Muddanur,Jammalamadugu,YSR
Mylavaram,Jammalamadugu,YSR
Peddamudium,Jammalamadugu,YSR
Proddatur,Jammalamadugu,YSR
Rajupalem,Jammalamadugu,YSR
Chennur,Kadapa,YSR
Chinthakommadinne,Kadapa,YSR
Kadapa,Kadapa,YSR
Kamalapuram,Kadapa,YSR
Pendlimarri,Kadapa,YSR
Sidhout,Kadapa,YSR
Vallur,Kadapa,YSR
Vontimitta,Kadapa,YSR
Yerraguntla,Kadapa,YSR
Chakrayapet,Pulivendula,YSR
Lingala,Pulivendula,YSR
Pulivendla,Pulivendula,YSR
Simhadripuram,Pulivendula,YSR
Thondur,Pulivendula,YSR
Veerapunayunipalle,Pulivendula,YSR
Vempalle,Pulivendula,YSR
Vemula,Pulivendula,YSR
Nandalur,Rajampeta,YSR
Rajampet,Rajampeta,YSR
T. Sundupalle,Rajampeta,YSR
Veeraballi,Rajampeta,YSR
